parent_sku,variant_sku,current_ex_vat,calculated_website_incl_vat,source_purchase_ex_vat,source_retail_incl_vat,proposed_ex_vat,vat_percent
UPH-425V-CR6-A,UPH-425V-CR6-A,1524.0,1843.95,1524,3689.0,3048.7603,21
UPH-425V-CR6-A,UPH-425V-LL6-A,2428.0,2937.95,2428,5876.0,4856.1983,21
UPH-425V-CR6-A,UPH-425V-RL6-A,2428.0,2937.95,2428,5876.0,4856.1983,21
UPH-425V-LH5-B,UPH-425V-LH5-B,2688.0,3251.95,2688,6505.0,5376.0331,21
UPH-425V-LH5-B,UPH-425V-RH5-B,2688.0,3251.95,2688,6505.0,5376.0331,21
UPH-425V-LL1-A,UPH-425V-LL1-A,1444.0,1746.95,1444,3495.0,2888.4298,21
UPH-425V-LL1-A,UPH-425V-RL1-A,1444.0,1746.95,1444,3495.0,2888.4298,21
UPH-425V-LL5-B,UPH-425V-LL5-B,2730.0,3302.95,2730,6607.0,5460.3306,21
UPH-425V-LL5-B,UPH-425V-RL5-B,2730.0,3302.95,2730,6607.0,5460.3306,21
UPH-425V-LL7-B,UPH-425V-LL7-B,3316.0,4011.95,3316,8025.0,6632.2314,21
UPH-425V-LL7-B,UPH-425V-RL7-B,3316.0,4011.95,3316,8025.0,6632.2314,21
UPH-425V-LS8-A,UPH-425V-LS8-A,2662.0,3220.95,2662,6443.0,5324.7934,21
UPH-425V-LS8-A,UPH-425V-RS8-A,2662.0,3220.95,2662,6443.0,5324.7934,21
UPH-425V-WE5-1B,UPH-425V-WE5-1B,4174.0,5050.95,4174,10102.0,8348.7603,21
UPH-425V-WE5-1B,UPH-425V-WE5-2B,4832.0,5846.95,4832,11694.0,9664.4628,21
UPH-425V-WE5-1B,UPH-425V-WE5-4B,2446.0,2959.95,2446,5920.0,4892.562,21
